prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant,diel_migrant_cat,refuge,refuge_cat,season_migrant,season_cat,gregarious_primary,l_max,body_shape,b_shape_r,eye_body_r,standard_total,phys_defense,transparent,col_disrupt,silver,countershade,energy_density,percent_protein,percent_lipid,maxFO,maxN,maxM,maxTL,trophic_level,fisheries_status
Cephalopoda,Oegopsida,Ommastrephidae,Illex coindetii,none,juvenile,demersal,continental shelf,1,diel_yes,0,refuge_no,0,season_no,schooling,20.7,fusiform,7.213267756,0.044679891,0.56136427,0,0,1,0,0,4.3,17.3,1.46,10.3,2.13,3.3,0,NA,commercial
NA,NA,NA,Cavolinia tridentata,none,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0.1,0,NA,NA
Actinopterygii,Perciformes,Nomeidae,Cubiceps gracilis,none,larva,epipelagic,oceanic,NA,diel_UN,0,refuge_no,1,season_yes,schooling,14.6,fusiform,4.705010504,0.06481651,0.796390425,0,1,0,0,0,3.809,NA,18.9,10,0,0,12,NA,none
Actinopterygii,Clupeiformes,Engraulidae,Engraulis capensis,none,adult,epipelagic,coastal,1,diel_yes,0,refuge_no,1,season_yes,schooling,17,elongated,5.446916622,0.065257985,1.106647717,0,0,0,1,1,5.13,12.04606667,4.231,10,3.8,4.4,0,3,minor commercial
Actinopterygii,Perciformes,Chiasmodontidae,Chiasmodon niger,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,solitary,NA,elongated,7.126727533,0.039607954,0.83504728,1,0,0,0,0,NA,NA,56.89,9.5,1.7,1.6,0,NA,none
Malacostraca,Stomatopoda,Squilllidae,Neoanchisquilla tuberculata,none,adult,benthic,reef-associated,NA,diel_UN,1,refuge_yes,NA,season_NA,schooling,7.4,elongated,5.557957356,0.039008872,0.827718986,0,0,1,0,0,NA,NA,NA,9.5,1.1,0.4,0,NA,none
Malacostraca,Amphipoda,Platyscelidae,Platyscelus ovoides,none,adult,epipelagic,continental shelf,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,2,globiform,NA,NA,NA,1,0,0,0,0,NA,NA,NA,9.259259259,1.1,1.3,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus barnardi,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,shoaling,11.6,elongated,6.047785274,0.084093082,0.829524476,0,0,0,1,0,NA,NA,NA,9,3.7,4.7,0,3.1,none
Actinopterygii,Beloniformes,Belonidae,Belone belone,none,juvenile,epipelagic,coastal,0,diel_no,0,refuge_no,1,season_yes,schooling,28.5,elongated,16.62215109,0.02223585,0.882398975,0,0,0,1,1,6.2,20.1,2.9,8.7,0,7.1,0,NA,none
NA,NA,NA,Soestia zonaria,none,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.571428571,0,0,0,NA,NA
Actinopterygii,Aulopiformes,Paralepididae,Magnisudis atlantica,none,juvenile,mesopelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,9.7,elongated,9.835471494,0.042272055,0.880734167,0,1,0,1,0,NA,NA,6.19,8.2,2,2.4,0,NA,none
Actinopterygii,Perciformes,Gempylidae,Diplospinus multistriatus,none,juvenile,mesopelagic,continental shelf,1,diel_yes,0,refuge_no,0,season_no,solitary,16,elongated,15.82318886,0.035400852,0.919496686,1,0,0,0,0,10.21,NA,NA,8,0,0,16.42202764,NA,none
Cephalopoda,Octopoda,Eledonidae,Eledone cirrhosa,none,juvenile,benthic,continental shelf,1,diel_yes,1,refuge_yes,0,season_no,solitary,11.1,fusiform,4.536368489,0.036985363,0.298527351,0,0,1,0,0,4.7,16.2,2.8,8,0.16,0,0,NA,none
Actinopterygii,Gadiformes,Lotidae,Gaidropsarus vulgaris,none,juvenile,demersal,continental shelf,0,diel_no,1,refuge_yes,0,season_no,solitary,27,elongated,6.465148124,0.024239528,0.855757069,0,0,1,0,0,5.5,17.2,2.6,8,0,0,0,NA,none
Malacostraca,Decapoda,Palinuridae,Palinurus mauritanicus,juvenile,juvenile,benthic,continental shelf,0,diel_no,1,refuge_yes,1,season_yes,solitary,9,globiform,4.014776455,0.033011404,0.849305754,1,0,1,0,0,NA,NA,NA,8,0,0,0,NA,none
Malacostraca,Decapoda,Oplophpridae,Systellaspis debilis,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,1.7,elongated,8.425899908,0.025309746,0.859183754,1,0,0,0,0,3.156,9.3,2.59,8,0,0,0,3.32,none
Actinopterygii,Myctophiformes,Myctophidae,Diaphus lucidus,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,11.8,fusiform,5.550894278,0.051906604,0.79700341,0,0,0,0,0,NA,NA,NA,7.9,5.8,4.4,0,3,none
Actinopterygii,Myctophiformes,Myctophidae,Diaphus perspicillatus,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,7.1,fusiform,5.107268792,0.073594502,0.810870168,0,0,0,0,0,NA,NA,3.15,7.9,5.8,5,0,3.12,none
Malacostraca,Stomatopoda,Lysiosquillidae,Lysiosquilla tredecimdentata,none,adult,benthic,coastal,0,diel_no,1,refuge_yes,0,season_no,pairing,2.76,elongated,5.295785785,0.033316974,0.896962942,1,0,1,0,0,NA,NA,NA,7.9,0.9,0.7,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus townsendi,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,NA,fusiform,5.81498037,0.078886667,0.771725737,0,0,1,1,1,7.156666667,9.2,11.16666667,7.7,0.6,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Stenobrachius leucopsarus,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,13,fusiform,5.645554565,0.065535129,0.781457705,0,0,1,1,1,8.7608,11.1755,16.26492463,7.6,0.2,0,0,3.1,none
Cephalopoda,Oegopsida,Cranchiidae,Helicocranchia pfefferi,none,adult,mesopelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,NA,NA,globiform,2.662126813,0.072223859,0.741321872,0,1,1,0,0,NA,NA,NA,7.407407407,0,0,0,NA,none
Cephalopoda,Oegopsida,Ancistrocheiridae,Ancistrocheirus lesueurii,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,NA,10.2,fusiform,6.530103481,0.061970071,0.4151954,0,0,1,0,0,NA,NA,NA,7,0.4,0.5,0,NA,none
Cephalopoda,Octopoda,Amphitretidae,Japetella heathi,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,solitary,8,globiform,1.980823646,0.102038974,0.633069158,0,1,1,0,0,2.8,9.275,NA,7,0,0.6,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Triphoturus mexicanus,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,7.5,fusiform,5.775081035,0.05963966,0.840212202,0,0,1,1,1,6.99,8.8,12.61666667,6.976744186,0.459066565,0.000609243,0,3.33,none
Cephalopoda,Oegopsida,Onychoteuthidae,Onykia robusta,none,juvenile,demersal,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,shoaling,7,fusiform,7.597020247,0.011407628,0.573442471,0,0,0,0,0,NA,NA,NA,6,0.5,0,0,NA,none
Actinopterygii,Aulopiformes,Scopelarchidae,Scopelarchus analis,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,NA,12.6,elongated,7.796663224,0.055391577,0.897950703,0,0,0,0,0,NA,NA,NA,6,1,0.9,0,4.2,none
Actinopterygii,Stephanoberyciformes,Melamphaidae,Melamphaes lugubris,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,16,fusiform,3.87529859,0.049337509,0.862962955,1,0,0,0,0,15.27,10.2,32.3,5.9,1.1,0,0,3.8,none
NA,NA,NA,Diacria trispinosa,none,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.714285714,0.3,0.1,0,NA,NA
NA,NA,NA,Electrona rissoi,adult,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.155,NA,NA,5.714285714,0,0,0,NA,NA
Malacostraca,Amphipoda,Hyperiidae,Hyperia galba,none,adult,epipelagic,oceanic,1,diel_yes,1,refuge_yes,1,season_yes,schooling,1.2,fusiform,4.693299168,0.096875393,0.753191106,1,0,1,0,0,1.9491,6.46725,1.9899,5.714285714,0,0,0,NA,none
Gastropoda,Caenogastropoda,Epitoniodea,Janthina exigua,none,adult,epipelagic,oceanic,0,diel_no,0,refuge_no,0,season_no,solitary,1.53,globiform,1.124039437,0,1,1,0,0,0,0,NA,NA,NA,5.714285714,0,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus warmingii,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,8.1,fusiform,5.957788081,0.07244847,0.755350796,0,0,1,1,1,NA,11.5,6.24,5.6,0.8,0.2,0,3.4,none
Actinopterygii,Myctophiformes,Myctophidae,Diaphus theta,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,11.4,fusiform,5.15876325,0.069694435,0.778387809,0,0,1,1,1,9.234,11.70933333,11.55833333,5.6,9.8,0.2,0,3.19,none
Actinopterygii,Perciformes,Carangidae,Trachurus japonicus,none,juvenile,epipelagic,coastal,1,diel_yes,1,refuge_yes,1,season_yes,schooling,17.1,fusiform,4.573987751,0.059658314,0.776671212,1,0,0,1,1,5.64,3.71,21.41,5.6,0.8,13.9,0,NA,none
Actinopterygii,Perciformes,Blenniidae,Blennius ocellaris,none,juvenile,epipelagic,continental shelf,0,diel_no,1,refuge_yes,NA,season_NA,solitary,9.73,elongated,4.278982981,0.128342694,0.794358354,1,0,1,0,0,NA,NA,NA,5.555555556,0,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus alatus,adult,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,6.1,fusiform,6.486689241,0.057492099,0.798430675,0,0,1,1,1,3.838,13.8,1.3,5.555555556,0,0,0,3.22,none
Actinopterygii,Perciformes,Gempylidae,Gempylus serpens,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,solitary,46.5,elongated,16.09700771,0.027924167,0.905049672,1,NA,NA,NA,NA,NA,NA,NA,5.2,0.89336628,0.5,0,NA,none
Cephalopoda,Oegopsida,Enoploteuthidae,Abralia redfieldi,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,3.6,fusiform,3.914415507,0.084877536,0.526756112,0,1,1,0,0,NA,NA,NA,5,0,0,0,NA,none
Cephalopoda,Octopoda,Argonautidae,Argonauta nodosus,none,adult,epipelagic,oceanic,0,diel_no,0,refuge_no,1,season_yes,schooling,13.79,compressiform,1.741097979,0.100304886,0.444491218,1,0,1,0,0,NA,NA,NA,5,0,0.1,0,NA,none
Cephalopoda,Octopoda,Alloposidae,Haliphron atlanticus,none,larva,epipelagic,continental slope,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,NA,fusiform,3.279469321,0.052897208,0.21005016,0,1,0,0,0,NA,NA,NA,5,0,0,0,NA,none
Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes bartramii,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,25,fusiform,5.439853712,0.044463188,0.761282086,0,0,1,0,0,NA,NA,0.96,5,1.6,6.2,0,NA,commercial
Cephalopoda,Octopoda,Octopodidae,Scaeurgus unicirrhus,juvenile,juvenile,benthic,continental shelf,1,diel_yes,1,refuge_yes,1,season_yes,schooling,5,fusiform,6.172867219,0.013838245,0.222490924,0,0,1,0,0,NA,NA,NA,5,1.6,0,0,NA,none
Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis morisii,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,3.5,fusiform,8.389906023,0.042137742,0.349336875,0,0,0,0,0,NA,NA,NA,4.9,3.4,3.4,0,NA,none
Cephalopoda,Oegopsida,Ommastrephidae,Eucleoteuthis luminosa,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,9.5,elongated,6.657790747,0.043175706,0.617539336,0,0,1,0,0,NA,NA,1.5,4.9,1.3,1.9,0,NA,none
Cephalopoda,Octopoda,Amphitretidae,Japetella diaphana,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,solitary,16,globiform,2.417094925,0.07665302,0.610868067,0,1,1,0,0,NA,NA,NA,4.8,1,2.1,0,3.58,none
Thaliacea,Salpida,Salpidae,Salpa maxima,none,adult,epipelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,10,globiform,NA,NA,NA,0,0,0,0,0,NA,NA,NA,4.8,1.9,1.3,0,NA,none
Actinopterygii,Perciformes,Bramidae,Pterycombus petersii,none,juvenile,epipelagic,oceanic,NA,diel_UN,0,refuge_no,1,season_yes,schooling,10,compressiform,2.969800609,0.086231703,0.792372993,0,0,0,1,1,NA,NA,NA,4.7,0.1,2.2,0,NA,none
Malacostraca,Amphipoda,Phrosinidae,Anchylomera blossevillei,none,adult,epipelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,1.1,fusiform,NA,NA,NA,1,0,0,0,0,NA,NA,NA,4.2,1.65,3.3,0,NA,none
Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus imperatorius,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,6.8,compressiform,1.62246179,0.123359183,0.832674483,0,0,0,1,0,NA,NA,NA,4.2,0.2,0.1,0,3.1,none
Malacostraca,Decapoda,Axiidae,Axius stirhynchus,none,adult,benthic,coastal,NA,diel_UN,1,refuge_yes,NA,season_NA,shoaling,0.21,elongated,5.400016862,0.015391631,0.84147369,1,0,0,0,0,NA,NA,NA,4,0,0,0,NA,none
Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla gurnardus,none,juvenile,demersal,continental shelf,0,diel_no,1,refuge_yes,1,season_yes,shoaling,18.8,elongated,6.405722323,0.060217818,0.821775902,1,0,1,1,1,NA,NA,1.55,4,0,0,0,NA,none
Malacostraca,Decapoda,Benthesicymidae,Gennadas elegans,juvenile,juvenile,demersal,continental shelf,1,diel_yes,0,refuge_no,0,season_no,schooling,NA,elongated,7.522570603,0.032871891,0.791987583,1,0,0,0,0,NA,NA,5.6,4,0,0,0,NA,none
Actinopterygii,Aulopiformes,Paralepididae,Lestidiops ringens,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,21,elongated,10.92669638,0.03872129,0.924875956,0,1,0,1,0,NA,NA,NA,4,0,0,0,4.05,none
Actinopterygii,Myctophiformes,Myctophidae,Lobianchia gemellarii,adult,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,9.89,fusiform,4.788686058,0.05458985,0.850185835,0,0,1,1,1,5.7415,14.15,5.1,4,0,0,0,3,none
Actinopterygii,Aulopiformes,Paralepididae,Macroparalepis affinis,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,NA,elongated,16.7569899,0.029005991,0.950882936,0,1,0,1,0,NA,NA,NA,4,0,0,17.77295539,NA,none
Malacostraca,Decapoda,Pasiphaeidae,Parapasiphae sulcatifrons,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,9.89,elongated,6.550430952,0.016728536,0.840108607,1,0,0,0,0,NA,NA,14.6,4,0,0,0,NA,none
Hexanauplia,Calanoida,Calanidae,Calanus finmarchicus,none,adult,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,0.4,fusiform,4.417287528,0,0.677102833,1,1,0,0,0,6.36,11,7.96,3.703703704,0,0,0,2.37,none
Malacostraca,Isopoda,Idoteidae,Idotea metallica,none,adult,epipelagic,continental shelf,0,diel_no,1,refuge_yes,1,season_yes,schooling,NA,fusiform,2.862625905,0.064669931,0.841835991,1,0,0,0,0,NA,NA,NA,3.703703704,0,0,0,NA,none
Actinopterygii,Clupeiformes,Clupeidae,Sardina pilchardus,none,juvenile,epipelagic,coastal,1,diel_yes,0,refuge_no,1,season_yes,schooling,14.2,fusiform,5.524127498,0.049458266,0.815914192,0,0,0,1,1,7.365,17.8,11.7,3.4,5.8,7.68,0,NA,none
Cephalopoda,Oegopsida,Octopoteuthidae,Taningia danae,none,larva,epipelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,NA,fusiform,5.359248317,0.054237357,0.524351031,0,1,1,0,0,NA,NA,NA,3.3,0.2,0,0,NA,none
Malacostraca,Decapoda,Pandalidae,Heterocarpus laevigatus,none,adult,benthic,continental slope,1,diel_yes,1,refuge_yes,1,season_yes,schooling,18,elongated,6.228229747,0.019317342,0.839022571,1,0,1,0,0,NA,NA,NA,3.2,0.3,0.1,0,NA,potential
Malacostraca,Decapoda,Oplophoroidae,Oplophorus typus,none,adult,mesopelagic,continental slope,1,diel_yes,0,refuge_no,0,season_no,schooling,3.9,elongated,5.895886045,0.051784638,0.858660998,1,0,0,0,0,NA,NA,NA,3.2,0.5,0.3,0,3.2,none
Cephalopoda,Octopoda,Tremoctopodidae,Tremoctopus gracilis,none,larva,epipelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,NA,globiform,8.391424345,0.018396448,0.170984339,0,0,0,0,0,NA,NA,NA,3.2,0.1,1.5,0,NA,none
Actinopterygii,Perciformes,Caproidae,Antigonia capros,none,juvenile,epipelagic,continental shelf,NA,diel_UN,0,refuge_no,NA,season_NA,shoaling,12,compressiform,1.127705377,0.096841888,0.754523588,1,0,1,1,0,6.59,15.95,2.16,3,0,0,0,NA,none
Actinopterygii,Perciformes,Bramidae,Brama orcini,none,juvenile,epipelagic,continental shelf,1,diel_yes,0,refuge_no,NA,season_NA,schooling,NA,compressiform,2.656519977,0.062823233,0.692844722,0,0,0,1,1,NA,NA,NA,3,0.190077932,0,0,NA,none
Actinopterygii,Perciformes,Gempylidae,Nealotus tripes,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,solitary,15,elongated,8.069026258,0.047065394,0.860026406,1,0,0,1,0,NA,NA,NA,3,0,0.1,0,NA,none
Actinopterygii,Perciformes,Gempylidae,Nesiarchus nasutus,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,25.4,elongated,10.46124687,0.030035191,0.879060962,0,0,1,0,0,NA,NA,NA,3,0,0,0,NA,none
Actinopterygii,Scorpaeniformes,Peristediidae,Peristedion gracile,none,adult,demersal,continental shelf,NA,diel_UN,1,refuge_yes,NA,season_NA,NA,20,fusiform,7.00831661,0.066143365,0.858836449,1,0,1,0,0,NA,NA,NA,3,0,0,0,3.4,none
Actinopterygii,Perciformes,Nomeidae,Psenes pellucidus,none,juvenile,epipelagic,oceanic,NA,diel_UN,1,refuge_yes,NA,season_NA,shoaling,12,compressiform,3.044687732,0.076047638,0.713196857,1,1,1,1,0,NA,NA,NA,3,0,0,0,NA,none
Actinopterygii,Perciformes,Scombridae,Scomber japonicus,none,juvenile,epipelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,26.1,fusiform,5.276481633,0.054908579,0.84750757,1,0,1,1,1,6.7735,19.81,7.9325,3,0.306044376,0.006092434,0,NA,none
Actinopterygii,Perciformes,Carangidae,Selene setapinnis,none,juvenile,demersal,coastal,NA,diel_UN,0,refuge_no,0,season_no,schooling,20.5,compressiform,1.919482707,0.073485933,0.726997409,1,0,0,1,0,NA,NA,NA,3,0,0,0,NA,aquarium
Cephalopoda,Oegopsida,Ommastrephidae,Hyaloteuthis pelagica,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,9,fusiform,6.383369709,0.061361062,0.648279259,0,0,1,0,0,NA,NA,NA,2.9,0,0.5,0,3.8,none
Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,none,juvenile,demersal,continental shelf,0,diel_no,0,refuge_no,1,season_yes,schooling,11.5,elongated,6.813609909,0.108228867,0.823469756,0,0,1,1,0,4.43,22.34,0.53,2.857142857,0,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Diaphus luetkeni,adult,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,8.8,fusiform,5.052578158,0.080850376,0.851724865,0,0,1,1,1,NA,NA,NA,2.857142857,0,0,0,3.78,none
Actinopterygii,Perciformes,Sparidae,Diplodus sargus,none,juvenile,demersal,reef-associated,0,diel_no,1,refuge_yes,1,season_yes,schooling,21,fusiform,2.635119272,0.074914273,0.775717974,1,0,1,1,0,NA,18.7,2.01,2.857142857,0,0,0,NA,minor commercial
Malacostraca,Amphipoda,Phrosinidae,Primno macropa,none,adult,epipelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,2.1,fusiform,3.70957175,0.049126704,0.854280552,1,0,0,0,0,4.076,6.525,2.995,2.857142857,0.49,0.24,0,NA,none
NA,NA,NA,Pyrosoma atlanticum,none,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,0,0,0,NA,NA
Malacostraca,Decapoda,Sergestidae,Robustosergia robusta,none,adult,bathypelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,NA,elongated,8.60495068,0.027935618,0.690944164,1,0,0,0,0,NA,NA,NA,2.857142857,0,0,0,NA,none
Cephalopoda,Sepiida,Sepiolidae,Sepietta oweniana,none,adult,benthic,continental shelf,1,diel_yes,1,refuge_yes,1,season_yes,shoaling,5,fusiform,4.263132671,0.081422622,0.453946114,0,0,1,0,0,NA,NA,NA,2.857142857,0,0,0,3.45,none
Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis eblanae,none,juvenile,demersal,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,18.8,fusiform,5.635079595,0.04386503,0.483715896,0,0,1,0,0,4.4,18,2.4,2.777777778,0,13.64,0,NA,none
Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus ferox,none,larva,epipelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,NA,elongated,14.34107885,0.026026573,0.881745651,0,1,0,1,0,1.7,NA,NA,2.7,0.3,1,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Protomyctophum crockeri,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,3.7,fusiform,3.939288388,0.119638552,0.812920599,0,0,1,1,1,NA,NA,3.733333333,2.7,0.2,0,0,3.2,none
NA,NA,NA,Scopelogadus mizolepis bispinosus,none,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,6.5149,1.92285,2.7,0.4,0,0,NA,NA
Actinopterygii,Perciformes,Gempylidae,Thyrsitoides marleyi,none,juvenile,mesopelagic,continental slope,1,diel_yes,0,refuge_no,NA,season_NA,NA,101.1,elongated,9.673079113,0.038151633,0.888746459,1,0,0,1,0,NA,NA,NA,2.7,0.4,0.9,0,NA,none
Malacostraca,Decapoda,Oplophoroidae,Janicella spinicauda,none,adult,bathypelagic,continental slope,1,diel_yes,0,refuge_no,0,season_no,schooling,1.04,elongated,7.914940793,0.03387039,0.839056862,1,1,1,0,0,NA,NA,NA,2.2,0.5,0.1,0,3.52,none
Actinopterygii,Myctophiformes,Myctophidae,Myctophum asperum,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,shoaling,8.5,elongated,4.970916266,0.0784394,0.874563773,0,0,0,1,1,NA,NA,10.8,2.2,0.9,0.6,0,3.68,none
Actinopterygii,Tetraodontiformes,Molidae,Ranzania laevis,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,solitary,30,compressiform,2.319972689,0.051046136,0.933207867,0,0,0,1,1,NA,NA,NA,2.2,1.3,1.6,0,NA,none
Actinopterygii,Perciformes,Gempylidae,Rexea prometheoides,none,juvenile,mesopelagic,continental slope,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,NA,elongated,5.625024288,0.061838904,0.860340121,1,0,0,1,1,NA,NA,NA,2.2,0.1,0.7,0,NA,none
Cephalopoda,Oegopsida,Histioteuthidae,Stigmatoteuthis dofleini,none,juvenile,mesopelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,NA,NA,fusiform,8.85496886,0.036831,0.268645999,0,0,1,0,0,2.65,NA,NA,2.2,0.6,0.5,0,NA,none
Actinopterygii,Gadiformes,Bregmacerotidae,Bregmaceros mcclellandi,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,NA,9.6,elongated,6.391460032,0.040942171,0.911375302,0,0,0,1,1,NA,15,1.6,2.1,0.3,0.2,0,3.3,commercial
Actinopterygii,Myctophiformes,Myctophidae,Diaphus effulgens,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,15,fusiform,3.801074851,0.244349329,2.476671876,0,0,0,0,0,NA,16.54,4.86,2.1,0.2,0.2,0,3,none
Malacostraca,Amphipoda,Oxyccephalidae,Leptocotis tenuirostris,none,adult,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,0.9,elongated,6.210566712,0.017281933,0.849778449,1,0,0,0,0,NA,NA,NA,2.1,0.1,0.1,0,NA,none
Malacostraca,Stomatopoda,Squillidae,Natosquilla investigatoris,none,adult,epipelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,6.3,elongated,5.400963495,0.047446644,0.80815673,0,0,0,0,0,NA,NA,NA,2,1.8,1.5,0,NA,none
Gastropoda,Littorinimorpha,Atlantidae,Atlanta peronii,none,adult,epipelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,solitary,1.1,compressiform,1.605859055,0.05598963,1,1,1,0,0,0,NA,NA,NA,1.851851852,0,0,0,3.4,none
Actinopterygii,Ophidiiformes,Aphyonidae,Barathronus parfaiti,none,adult,bathypelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,solitary,10,eel-like,5.511142554,0,1,0,1,0,0,0,NA,NA,NA,1.851851852,0,0,0,3.4,none
Actinopterygii,Perciformes,Centrolophidae,Centrolophus niger,none,larva,epipelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,NA,elongated,4.212826238,0.039263743,0.798607587,0,1,0,0,0,NA,17.25,6.074,1.851851852,0,0,0,NA,none
Malacostraca,Amphipoda,Lanceolidae,Lanceola sayana,adult,adult,bathypelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,4.2,fusiform,5.068710913,0.013267764,0.802402135,1,0,0,0,0,NA,NA,NA,1.851851852,0,0,0,NA,none
Cephalopoda,Oegopsida,Cranchiidae,Liocranchia reinhardtii,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,18.5,globiform,1.971969107,0.051725143,0.828398107,0,1,1,0,0,NA,NA,NA,1.851851852,0,0,0,NA,none
