"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","SampleMethod","SampleDepth","stomachs_used","pred_life","pred_life_est","pred_age","pred_age_est","pred_flmean","pred_flmean_se","pred_flmean_est","pred_flmin","pred_flmax","pred_flest","est_note","est_ref","pred_life_adjust","rep_ID"
"Monaco1888","1888.0","Mediterranean","Mediterranean","Mediterranean",34.061761,19.209595,"Sep",1888,"troll","surface","not reported","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",63.4875,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range from a study in a similar location (Mediterranean) (Goni et al. 2011), and corroborated with ICCAT catch data (2020) for the N Atlantic, albeit both sources of information date later than the observed albacore stomach from 1918; this is a proxy for the likely size of that specimen; we then used N Atlantic age / growth curves from Santiago & Arrizabalaga (2005) to provide a likely age and life stage for this sample.","Goni et al. (2011) length values for the Mediterranean; Santiago & Arrizabalaga (2005)","mixed","Monaco1888_47"
"OrtizZarate1987","1987.0","N Atlantic","NE Atlantic","Bay of Biscay",46.986108,-5.407589,"NA",1968,"troll","surface","97","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",52,90,"Measured: study reported","Ortiz de Zarate (1987) reported the FL range, this synthesis estimated the FL mean from ICCAT catch data (2020) and corroborated with reported FL range for this study; synthesis effort estimated age range and life stage from N Atlantic growth curve (Santiago & Arrizabalaga 2005)","Ortiz de Zarate (1987); ICCAT (2020); Santiago & Arrizabalaga (2005)","juvenile","OrtizZarate1987_48"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Central California (Region 2)",35.283333333,-122,"Jul–Nov",1968,"most caught with jigs/live bait, some caught with purse seines","surface","286","juvenile","Estimated: by meta-analysis","2–5 yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",52.2,93.2,"Measured: study reported","Pinkas et al. (1971) study reported FL range; synthesis estimated FL mean using historical catch data (ISC 2006); synthesis effort estimated age range and likely life stage based on N Pacific age and growth curves (Xu et al. 2014)","Pinkas et al. (1971); ISC (2006); Xu et al. (2014)","juvenile","Pinkas1971_49"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Oregon-Washington (Region 3)",45,-126,"Jul–Nov",1968,"most caught with jigs/live bait, some caught with purse seines","surface","177","juvenile","Estimated: by meta-analysis","2–5 yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",52.2,93.2,"Measured: study reported","Pinkas et al. (1971) study reported FL range; synthesis estimated FL mean using historical catch data (ISC 2006); synthesis effort estimated age range and likely life stage based on N Pacific age and growth curves (Xu et al. 2014)","Pinkas et al. (1971); ISC (2006); Xu et al. (2014)","juvenile","Pinkas1971_50"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Southern California (Region 1)",32,-119.5,"Jul–Nov",1968,"most caught with jigs/live bait, some caught with purse seines","surface","222","juvenile","Estimated: by meta-analysis","2–5 yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",52.2,93.2,"Measured: study reported","Pinkas et al. (1971) study reported FL range; synthesis estimated FL mean using historical catch data (ISC 2006); synthesis effort estimated age range and likely life stage based on N Pacific age and growth curves (Xu et al. 2014)","Pinkas et al. (1971); ISC (2006); Xu et al. (2014)","juvenile","Pinkas1971_51"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Southern California (Region 1)",32,-119.5,"Jul–Sep",1969,"most caught with jigs/live bait, some caught with purse seines","surface","200","juvenile","Estimated: by meta-analysis","2–5 yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",52.2,93.2,"Measured: study reported","Pinkas et al. (1971) study reported FL range; synthesis estimated FL mean using historical catch data (ISC 2006); synthesis effort estimated age range and likely life stage based on N Pacific age and growth curves (Xu et al. 2014)","Pinkas et al. (1971); ISC (2006); Xu et al. (2014)","juvenile","Pinkas1971_52"
"Pinkas1971","1971.0","N Pacific","NE Pacific","Oregon-Washington (Region 3)",45,-126,"Jul–Sep",1969,"most caught with jigs/live bait, some caught with purse seines","surface","20","juvenile","Estimated: by meta-analysis","2–5 yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",52.2,93.2,"Measured: study reported","Pinkas et al. (1971) study reported FL range; synthesis estimated FL mean using historical catch data (ISC 2006); synthesis effort estimated age range and likely life stage based on N Pacific age and growth curves (Xu et al. 2014)","Pinkas et al. (1971); ISC (2006); Xu et al. (2014)","juvenile","Pinkas1971_53"
"Pusineri2005","2005.0","N Atlantic","NE Atlantic","Bay of Biscay",45,-17.5,"Jun–Sep",1993,"driftnets","surface","27","juvenile","Estimated: study; synthesis corroborated with other information","2–3 yo","Estimated: paper reported age estimate",72.9,NA,"Estimated: by meta-analysis",53,93,"Measured: study reported","Pusineri et al. (2005) reported FL range; synthesis effort estimated FL mean from ICCAT data (2020) and reported FL range for this study; Pusineri et al. (2005) reported an age range and life stage consistent with albacore they measured and we corroborated this with N Atlantic age and growth curves (Santiago & Arrizabalaga 2005)","Pusineri et al. (2005); Santiago & Arrizabalaga (2005)","juvenile","Pusineri2005_54"
"Romanov2020","2020.0","Indian","SW Indian","Indian South Subtropical Gyre Province, Reunion Island",-19,53,"Multi-month",2014,"mixed scientific sampling (longline) and commercial (longline, troll, pole-line, purse seine) caught fish","NA","184","juvenile, adult","Estimated: by meta-analysis","2+ yo","Estimated: by meta-analysis",95.5,NA,"Measured: study reported",67,119,"Measured: study reported","Romanov et al. (2020) reported albacore FL mean and range; synthesis effort estimated age range and life stage based on both data available N Pacific (Xu et al. 2014) and N Atlantic (Santiago & Arrizabalaga 2005) age and growth curves and reported FL information. There were no age and growth studies publicly available for the S Atlantic or Indian Oceans.","Romanov et al. (2020); Santiago & Arrizabalaga (2005); Xu et al. (2014)","mixed","Romanov2020_55"
"Romanov2020","2020.0","Indian","SW Indian","Mozambique Channel, Madagascar",-15.5,42.76,"Multi-month",2014,"mixed scientific sampling (longline) and commercial (longline, troll, pole-line, purse seine) caught fish","NA","63","juvenile, adult","Estimated: by meta-analysis","2+ yo","Estimated: by meta-analysis",95.5,NA,"Measured: study reported",67,119,"Measured: study reported","Romanov et al. (2020) reported albacore FL mean and range; synthesis effort estimated age range and life stage based on both data available N Pacific (Xu et al. 2014) and N Atlantic (Santiago & Arrizabalaga 2005) age and growth curves and reported FL information. There were no age and growth studies publicly available for the S Atlantic or Indian Oceans.","Romanov et al. (2020); Santiago & Arrizabalaga (2005); Xu et al. (2014)","mixed","Romanov2020_56"
"Romanov2020","2020.0","S Atlantic","SE Atlantic","Atlantic Ocean off Cape Town, South Africa",-35,18,"Multi-month",2014,"mixed scientific sampling (longline) and commercial (longline, troll, pole-line, purse seine) caught fish","NA","290","juvenile, adult","Estimated: by meta-analysis","2+ yo","Estimated: by meta-analysis",95.5,NA,"Measured: study reported",67,119,"Measured: study reported","Romanov et al. (2020) reported albacore FL mean and range; synthesis effort estimated age range and life stage based on both data available N Pacific (Xu et al. 2014) and N Atlantic (Santiago & Arrizabalaga 2005) age and growth curves and reported FL information. There were no age and growth studies publicly available for the S Atlantic or Indian Oceans.","Romanov et al. (2020); Santiago & Arrizabalaga (2005); Xu et al. (2014)","mixed","Romanov2020_57"
"Romanov2020","2020.0","Indian","NW Indian","Indian Monsoon Gyre Province",-8,57,"Multi-month",2015,"mixed scientific sampling (longline) and commercial (longline, troll, pole-line, purse seine) caught fish","NA","150","juvenile, adult","Estimated: by meta-analysis","2+ yo","Estimated: by meta-analysis",95.5,NA,"Measured: study reported",67,119,"Measured: study reported","Romanov et al. (2020) reported albacore FL mean and range; synthesis effort estimated age range and life stage based on both data available N Pacific (Xu et al. 2014) and N Atlantic (Santiago & Arrizabalaga 2005) age and growth curves and reported FL information. There were no age and growth studies publicly available for the S Atlantic or Indian Oceans.","Romanov et al. (2020); Santiago & Arrizabalaga (2005); Xu et al. (2014)","mixed","Romanov2020_58"
"Romeo2012","2012.0","Mediterranean","Mediterranean","S. Tyrrhenian sea and Strait of Messina",38.6,15,"NA",2008,"drifting longlines","surface","not reported","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.84,NA,"Estimated: by meta-analysis",48,91,"Measured: study reported","Romeo et al. (2012) reported FL range; synthesis estimated FL mean from ICCAT data (2020) within the FL range supplied; synthesis estimated age range and life stage based on N Atlantic age and growth curves (Santiago & Arrizabalaga 2005)","Romeo et al. (2012); Santiago & Arrizabalaga (2005);","juvenile","Romeo2012_59"
"Salman&Karakulak2009","2009.0","Mediterranean","Mediterranean","Antalya Bay (Levantine Sea)",36.5,31.5,"May-July",2007,"long-line","surface","61","juvenile","Estimated: by meta-analysis","2–5 yo","Estimated: by meta-analysis",73.9,4.9,"Measured: study reported",64,91,"Measured: study reported","Salman & Karakulak (2009) reported FL mean and range; synthesis estimated age range and life stage from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and reported FL information","Salman & Karakulak (2009); Santiago & Arrizabalaga (2005)","juvenile","Salman&Karakulak2009_60"
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",40,163,"September",2001,"pole-line, gill nets","surface","14","juvenile","Estimated: by meta-analysis","1 yo","Estimated: by meta-analysis",54.763,5.849,"Estimated: by meta-analysis",51.7,56.4,"Measured: study reported","Watanabe et al. (2004) reported FL ranges for replicate sampling groups; synthesis estimated means within each of these ranges using historical catch data (ISC 2006) for the N Pacific; and age range and life stage from N Pacific growth curves (Xu et al. 2014)","Watanabe et al. (2004); ISC (2006); Xu et al. (2014)","juvenile","Watanabe2004_61"
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,"July",2002,"pole-line, gill nets","surface","46","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: by meta-analysis",64.006,3.219,"Estimated: by meta-analysis",48.9,76.2,"Measured: study reported","Watanabe et al. (2004) reported FL ranges for replicate sampling groups; synthesis estimated means within each of these ranges using historical catch data (ISC 2006) for the N Pacific; and age range and life stage from N Pacific growth curves (Xu et al. 2014)","Watanabe et al. (2004); ISC (2006); Xu et al. (2014)","juvenile","Watanabe2004_62"
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,"May-June",2002,"pole-line, gill nets","surface","64","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: by meta-analysis",64.006,3.219,"Estimated: by meta-analysis",50.5,75.8,"Measured: study reported","Watanabe et al. (2004) reported FL ranges for replicate sampling groups; synthesis estimated means within each of these ranges using historical catch data (ISC 2006) for the N Pacific; and age range and life stage from N Pacific growth curves (Xu et al. 2014)","Watanabe et al. (2004); ISC (2006); Xu et al. (2014)","juvenile","Watanabe2004_63"
"Williams2015","2015.0","S Pacific","SW Pacific","New Caledonia (NC_L_2010)",-19,168,"Feb–Oct",2010,"longline","50-150m","342","juvenile, adult","Estimated: by meta-analysis","3–9 yo","Estimated: by meta-analysis",90.13,4.291,"Estimated: by meta-analysis",73,106,"Measured: study reported","Williams et al. (2015) reported FL range and the likely age range; synthesis estimated means within each of these FL and age ranges (i.e., here for a likely 5 yo albacore) using historical catch data (ISC 2006) for the N Pacific and N Pacific growth curves (Xu et al. 2014) in order to produce a likely life stage based on this mean; because this paper was quite particular in providing a mixture of information, we used their age range to corroborate the life stage that we estimated.","Williams et al. (2015); ISC (2006); Xu et al. (2014)","mixed","Williams2015_64"
"Williams2015","2015.0","S Pacific","SW Pacific","SW New Zealand (NZ_T_2008)",-42.5,170,"Jan–Apr",2008,"trolling","< 100m","152","juvenile","Estimated: by meta-analysis","1–4 yo","Estimated: by meta-analysis",64.006,3.219,"Estimated: by meta-analysis",43,86,"Measured: study reported","Williams et al. (2015) reported FL range and the likely age range; synthesis estimated means within each of these FL and age ranges (i.e., here for a likely 2 yo albacore give the FL range) and using mean FL from historical catch data (ISC 2006) for the N Pacific and N Pacific growth curves (Xu et al. 2014) in order to produce a likely life stage based on this mean; because this paper was quite particular in providing a mixture of information, we used their age range to corroborate the life stage that we estimated.","Williams et al. (2015); ISC (2006); Xu et al. (2014)","juvenile","Williams2015_65"
"Williams2015","2015.0","S Pacific","SW Pacific","SW New Zealand (NZ_T_2009)",-42.5,170,"Jan–Mar",2009,"trolling","< 100m","61","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",74.248,4.543,"Estimated: by meta-analysis",43,90,"Measured: study reported","Williams et al. (2015) reported FL range and the likely age range; synthesis estimated means within each of these FL and age ranges (i.e., here for a likely 3 yo albacore) using historical catch data (ISC 2006) for the N Pacific and N Pacific growth curves (Xu et al. 2014) in order to produce a likely life stage based on this mean; because this paper was quite particular in providing a mixture of information, we used their age range to corroborate the life stage that we estimated.","Williams et al. (2015); ISC (2006); Xu et al. (2014)","juvenile","Williams2015_66"
"Williams2015","2015.0","S Pacific","SW Pacific","NE New Zealand (NZ_T_2010)",-40,178,"Apr–May",2010,"trolling","< 100m","11","juvenile, adult","Estimated: by meta-analysis","2–6 yo","Estimated: by meta-analysis",84.409,4.064,"Estimated: by meta-analysis",69,95,"Measured: study reported","Williams et al. (2015) reported FL range and the likely age range; synthesis estimated means within each of these FL and age ranges (i.e., here for a likely 4 yo albacore) using historical catch data (ISC 2006) for the N Pacific and N Pacific growth curves (Xu et al. 2014) in order to produce a likely life stage based on this mean; because this paper was quite particular in providing a mixture of information, we used their age range to corroborate the life stage that we estimated.","Williams et al. (2015); ISC (2006); Xu et al. (2014)","mixed","Williams2015_67"
"Williams2015","2015.0","S Pacific","SW Pacific","Tonga (TO_L_2010)",-20,-175.093115,"Jun–Jul",2010,"longline","50-150m","42","juvenile, adult","Estimated: study estimated life stage","3–9 yo","Estimated: by meta-analysis",90.13,4.291,"Estimated: by meta-analysis",76,105,"Measured: study reported","Williams et al. (2015) reported FL range and the likely age range; synthesis estimated means within each of these FL and age ranges (i.e., here for a likely 6 yo albacore) using historical catch data (ISC 2006) for the N Pacific and N Pacific growth curves (Xu et al. 2014) in order to produce a likely life stage based on this mean; because this paper was quite particular in providing a mixture of information, we used their age range to corroborate the life stage that we estimated.","Williams et al. (2015); ISC (2006); Xu et al. (2014)","mixed","Williams2015_68"
"Young2010","2010.0","S Pacific","SW Pacific","Eastern Australia, offshore, Eastern Tuna and Billfish fishery",-31,160,"Year-round",2006,"longline","25–385 m","10","adult","Estimated: by meta-analysis","8–12 yo","Estimated: by meta-analysis",90.5,NA,"Measured: study reported",100,113,"Measured: study reported","Young et al. (2010) reported FL mean and range; synthesis effort used N Pacific age and growth curves (Xu et al. 2014) to estimate age range and life stange based on FL information, as there are no South Pacific age and growth studies available.","Young et al. (2010); Xu et al. (2014)","adult","Young2010_69"
"Young2010","2010.0","S Pacific","SW Pacific","Eastern Australia, offshore, Eastern Tuna and Billfish fishery",-30,160,"Year-round",2006,"longline","25–385 m","36","juvenile, adult","Estimated: by meta-analysis","2–8 yo","Estimated: by meta-analysis",90.5,NA,"Measured: study reported",63,100,"Measured: study reported","Young et al. (2010) reported FL mean and range; synthesis effort used N Pacific age and growth curves (Xu et al. 2014) to estimate age range and life stange based on FL information, as there are no South Pacific age and growth studies available.","Young et al. (2010); Xu et al. (2014)","mixed","Young2010_70"
